,url,title,date
335,2335.htm,关于法学楼内各有关院系和单位办公地址搬迁的公告, 2009-09-04
336,2334.htm,关于上报各单位家具管理负责人名单的通知, 2009-07-03
337,2333.htm,关于家具管理有关事项的通知, 2009-06-16
338,2332.htm,紧急通知:请校内各单位速到校办收发室领取申请购买通州区限价商品…, 2009-05-15
339,2331.htm,领表通知, 2008-10-30
340,2330.htm,关于领取产权证通知, 2008-10-23
341,2329.htm,关于申请限价房老师办理入户调查相关手续的预通知, 2008-08-04
342,2328.htm,关于组织教职工申请购买限价商品房的紧急通知, 2008-07-25
343,2327.htm,关于本人为独生子女的教职工带外地父母共同申请限价商品房的紧急…, 2008-07-18
344,2326.htm,关于领取《蓝旗营集资购房教职工住房补贴核对确认表》的通知, 2008-03-20
345,2325.htm,关于蓝旗营集资购房教职工填表过程中有关情况的说明, 2007-11-01
346,2324.htm,关于组织蓝旗营集资建房购房教职工填表的通知, 2007-10-29
347,2323.htm,关于领取《住房情况登记表》和《住房补贴申请审核表》的通知, 2007-10-26
348,2322.htm,重要通知：关于2007年9月发放教职工住房补贴的情况说明, 2007-09-18
349,2321.htm,"重要通知：关于住房补贴的公示通知,请各单位到校办收发室领取。", 2007-07-13
350,2320.htm,北京大学关于发放蓝旗营房屋产权证的通知, 2007-02-05
351,2319.htm,紧急通知---关于办理蓝旗营房屋产权证的通知, 2007-01-12
352,2318.htm,2006年12月住房补贴发放情况说明, 2007-01-02
353,2316.htm,对符合发放住房补贴资格的教职工进行名单公示的通知, 2006-12-19
